case,id,st,gender,race,mental,social,yes_bin,shooter
201,Indianapolis,Indiana,Male,Unknown,0,1,1,yes
202,Rome,Georgia,Male,Black American or African American,0,1,1,yes
203,Phoenix,Arizona,Male,Some other race,0,1,1,yes
204,Killeen,Texas,Male,Black American or African American,0,0,0,not
205,Gates Pub,New York,Male,Black American or African American,1,1,1,yes
207,Milwaukee,Wisconsin,Male,Unknown,0,1,1,yes
208,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,Wisconsin,Male,Unknown,1,1,1,yes
210,Tucson,Arizona,Male,Unknown,1,1,1,yes
211,Club Maxey's,Illinois,Male,Black American or African American,0,0,0,not
212,Cleveland,Ohio,Male,Unknown,0,1,1,yes
213,Conyers,Georgia,Male,White American or European American,1,0,1,yes
214,Deer Lodge,Montana,Male,White American or European American,0,1,1,yes
215,Mother Emanuel AME Church,South Carolina,Male,White American or European American,1,1,1,yes
216,Boom Boom Room,North Carolina,Male,Black American or African American/Unknown,1,1,1,yes
218,Annual motorcycle event in Newark,New Jersey,Male,Black American or African American,0,1,1,yes
219,Miami Gardens,Florida,Male,Black American or African American,0,1,1,yes
221,River Forest,Illinois,Male,Unknown,0,1,1,yes
222,"Amnicola Training Center, Chattanooga",Tennessee,Male,White American or European American,1,1,1,yes
223,Suwanee,Georgia,Male,White American or European American,0,1,1,yes
224,"Grand 16 Theatre, Louisiana",Louisiana,Male,White American or European American,1,1,1,yes
225,"Houston, Texas",Texas,Male,Black American or African American,0,1,1,yes
226,Parking lot near Boys and Girls Club,New York,Male,Black American or African American,0,1,1,yes
227,Virginia WDBJ live TV interview shooting,Virginia,Male,Black American or African American,0,1,1,yes
228,"Bristol, Tennessee",Tennessee,Male,White American or European American,0,1,1,yes
229,"Clearbrook (Greenwood), Minnesota",Minnesota,Male,White American or European American,1,1,1,yes
230,"Platte, South Dakota",South Dakota,Male,White American or European American,0,1,1,yes
231,Umpqua Community College,Oregon,Male,Two or more races,1,1,1,yes
232,Northern Arizona University at Flagstaff Campus,Arizona,Male,White American or European American,0,1,1,yes
233,"King, North Carolina",North Carolina,Male,White American or European American,0,1,1,yes
234,Hill Haven Event Center (Formerly Club CJ's),Georgia,Male,Black American or African American,0,1,1,yes
235,"Colerain Township, Ohio",Ohio,Male,White American or European American,0,1,1,yes
236,Colorado Springs,Colorado,Male,White American or European American,0,1,1,yes
237,"Oakland, Maine",Maine,Male,Unknown,0,1,1,yes
238,"Inglis, Florida",Florida,Male,White American or European American,0,1,1,yes
239,"Waycross, GA",Georgia,Male,Black American or African American,1,0,1,yes
240,"Jacksonville, Florida",Florida,Male,Black American or African American,0,1,1,yes
241,"Tennessee Colony, Texas",Texas,Male,White American or European American,0,0,0,not
242,"Columbus, Ohio",Ohio,Male,White American or European American,0,1,1,yes
243,"Minneapolis, Minnesota",Minnesota,Male,White American or European American,0,1,1,yes
244,"Colorado Springs, Colorado",Colorado,Male,White American or European American,1,0,1,yes
245,"San Bernardino, California",California,Male/Female,Asian American,1,0,1,yes
246,"Omaha, Nebraska",Nebraska,Male,Black American or African American,0,1,1,yes
247,"Chesapeake, Virginia",Virginia,Male,White American or European American,1,0,1,yes
248,"Orlando, Florida",Florida,Male,Some other race,0,1,1,yes
249,"Iuka, Mississippi",Mississippi,Male,White American or European American,0,1,1,yes
250,"Kalamazoo, Michigan",Michigan,Male,White American or European American,0,0,0,not
251,"Glendale, Arizona",Arizona,Male,Two or more races,1,0,1,yes
252,"Hesston, Kansas",Kansas,Male,Black American or African American,0,1,1,yes
253,"Belfair, Washington",Washington,Male,White American or European American,1,1,1,yes
254,"Woodbridge, Virginia",Virginia,Male,Black American or African American,0,1,1,yes
255,"Chelsea, Massachusetts",Massachusetts,Male,Unknown,0,0,0,not
256,"Kansas City, Kansas",Kansas,Male,Some other race,0,1,1,yes
257,"Pittsburgh, Pennsylvania",Pennsylvania,Male,Unknown,0,1,1,yes
258,"Plantation, Florida",Florida,Unknown,Unknown,0,0,1,yes
259,"Louisville, Kentucky",Kentucky,Male,White American or European American,1,0,1,yes
260,"Sherman, Texas",Texas,Male,Unknown,0,1,1,yes
261,"Lawrenceburg, Tennessee",Tennessee,Male,Unknown,0,0,0,not
262,"Louisburg, North Carolina",North Carolina,Male,Black American or African American,0,1,1,yes
263,"Richmond, Virginia",Virginia,Male,Black American or African American,0,1,1,yes
264,"Residence in Lakeland, Florida",Florida,Male,Black American or African American,0,1,1,yes
265,"Roadside in Memphis, Tennessee",Tennessee,Unknown,Unknown,0,0,0,not
266,"Wilmington, DE robbery",Delaware,Male,Black American or African American,0,1,1,yes
267,"Gloucester County, VA, House Party",Virginia,Male,Black American or African American,0,0,0,not
268,Florida family murder,Florida,Male,White American or European American,0,1,1,yes
269,Los Angeles Drive-by,California,Unknown,Unknown,0,0,0,not
270,"Perris, CA Mexican restaurant shooting",California,Male,Unknown,0,0,0,not
271,"Chesapeake, VA Family Murder Suicide",Virginia,Male,White American or European American,0,0,0,not
272,"Caroline County, VA Family Murder Suicide",Virginia,Male,Unknown,0,1,1,yes
273,"Glendale, AZ House Party shooting",Arizona,Male,Unknown,0,1,1,yes
274,New Orleans gas station shoot-out,Louisiana,Male,Black American or African American,0,1,1,yes
275,"Tampa, FL Strip club shooting",Florida,Unknown,Unknown,0,1,1,yes
276,"Los Angeles, CA street shooting",California,Unknown,Unknown,0,0,0,not
277,Texas teen commits family murder suicide,Texas,Male,White American or European American,0,0,0,not
278,Nightclub fight turns into shootout,New York,Unknown,Unknown,0,1,1,yes
279,Michigan school shooting,Michigan,Male,Black American or African American,0,1,1,yes
280,"Vallejo, CA car shooting",California,Unknown,Unknown,0,0,0,not
281,Florida Hookah Bar Shooting,Florida,Unknown,Unknown,0,1,1,yes
282,Kalamazoo Uber Driver Spree Killing,Michigan,Male,White American or European American,0,0,0,not
283,Missouri Highway shooting,Missouri,Male,Black American or African American,0,1,1,yes
284,Houston Drive-by,Texas,Unknown,Unknown,0,0,0,not
285,Arizona Family Murder,Arizona,Male,White American or European American,0,0,0,not
286,"Belfair, WA Family murder-suicide",Washington,Male,White American or European American,0,0,0,not
287,Detroit Strip Club Shootout,Michigan,Male,Black American or African American,0,1,1,yes
288,Riverside restaurant shooting,California,Male,Some other race,0,0,0,not
289,Wichita Nightclub shooting,Kansas,Unknown,Unknown,0,0,0,not
290,"Chelsea, MA empty apartment party shooting",Massachusetts,Male,Some other race,0,0,0,not
291,"Roswell, GA Hookah shootout",Georgia,Male,Black American or African American,0,1,1,yes
292,"Lafayette, LA drive by",Louisiana,Unknown,Unknown,0,0,0,not
293,Kansas City Home Invasion,Kansas,Male,Some other race,0,0,0,not
294,Wilkinsburg BBQ cookout shootout,Pennsylvania,Male,Unknown,0,0,0,not
295,"Trenton, NJ sidewalk shooting",New Jersey,Unknown,Unknown,0,0,0,not
296,Detroit Drive-by,Michigan,Unknown,Unknown,0,0,0,not
297,"Elberton, Georgia murder-suicide",Georgia,Male,Unknown,0,1,0,not
298,Florida Family celebration ends in shooting,Florida,Unknown,Unknown,0,0,0,not
299,Atlanta Nightclub shooting,Georgia,Unknown,Unknown,0,1,0,not
300,Wetumpka Drive-by,Alabama,Male,Black American or African American,0,0,0,not
301,Spring Break Party shooting,Florida,Unknown,Unknown,0,0,1,yes
302,"Louisville, KY Family Murder-Suicide",Kentucky,Male,White American or European American,1,0,1,yes
303,"Sherman, TX Family murder-suicide",Texas,Male,White American or European American,0,1,1,yes
304,"Greenhill, AL Family murder-suicide",Alabama,Male,White American or European American,1,0,1,yes
305,"Albuquerque, NM Family restaurant shooting",New Mexico,Male,Asian American,0,0,0,not
306,Chicago Birthday Party Bus Shooting,Illinois,Unknown,Unknown,0,0,0,not
307,"Albuquerque, NM House party shooting",New Mexico,Male,White American or European American,0,1,1,yes
308,"Memphis, TN gas station shooting",Tennessee,Unknown,Unknown,0,0,0,not
309,Long Beach Street murder,California,Unknown,Unknown,0,0,0,not
310,Chicago Rap video Shootout,Illinois,Unknown,Unknown,0,1,1,yes
311,Texas family murder-suicide,Texas,Male,White American or European American,0,0,0,not
312,Alabama highway random shooting,Alabama,Male,White American or European American,0,0,0,not
313,Tire-Slashing revenge escalation,Maryland,Male,Black American or African American,0,1,1,yes
314,"Halifax County, VA",Virginia,Male,Black American or African American,0,1,1,yes
315,"Forestville, Maryland Drive-by",Maryland,Unknown,Unknown,0,0,1,yes
316,"Ferguson, MO Drive by",Missouri,Unknown,Unknown,0,1,1,yes
317,"Appling, GA family murder",Georgia,Male,Black American or African American,0,0,1,yes
318,"Auburn, AL club shootout",Alabama,Male,Black American or African American,0,1,1,yes
319,Nashville Music City Central shooting,Tennessee,Male,Black American or African American,0,0,1,yes
320,"Murfreesboro, TN party shooting",Tennessee,Unknown,Unknown,0,1,1,yes
321,"Florida Ex-wife, ex-girlfriend murder",Florida,Male,White American or European American,0,1,1,yes
322,"Katy, Texas work retaliation murder",Texas,Male,White American or European American,0,1,1,yes
323,"Card game ambush in Shreveport, Louisiana",Louisiana,Unknown,Unknown,0,0,1,yes
324,"Allapattah, Florida street shooting",Florida,Unknown,Unknown,0,0,1,yes
325,Federal Security Officer has day shooting rampage near Washington DC ,Maryland,Male,Some Other Race,0,1,1,yes
326,"Montgomery, Alabama street shooting",Alabama,Unknown,Unknown,0,0,1,yes
327,Detroit street shooting,Michigan,Male,Black American or African American,0,0,1,yes
328,Austin Taco truck murder,Texas,Male,Some Other Race,0,1,1,yes
329,Birmingham Domestic Dispute Murder,Alabama,Male,Black American or African American,0,1,1,yes
330,Chicago bus stop ambush,Illinois,Male,Unknown,0,0,1,yes
331,Chicago Family Murder Suicide,Illinois,Male,Black American or African American,0,0,1,yes
332,Phoenix girlfriend murder and cop shootout,Arizona,Male,Some Other Race,0,0,0,not
333,"Friend murder and fire coverup in Moultrie, GA",Georgia,Male,White American or European American,0,0,0,not
334,Trailer park triple homocide in South Carolina,South Carolina,Male,Black American or African American,0,1,1,yes
335,Graduation party drive by,Georgia,Male,Black American or African American,0,0,0,not
336,"Stockton, CA murder",California,Male,White American or European American,0,0,0,not
337,NYC Concert shooting,New York,Male,Black American or African American,0,1,1,yes
338,Las Vegas sidewalk shooting,Nevada,Male,Black American or African American,0,1,1,yes
339,Army vet shooting in Houston,Texas,Male,Some Other Race,1,0,1,yes
340,Fort Warne drive by,Indiana,Unknown,Unknown,0,0,0,not
341,Cape Coral Shooting Spree,Florida,Male,White American or European American,0,0,0,not
342,"Webster, MN party shooting",Minnesota,Unknown,Unknown,0,1,1,yes
343,Orlando Nightclub Massacre,Florida,Male,Some other race,0,0,0,not
344,Nightclub Disput,South Carolina,Male,Black American or African American,0,1,1,yes
