@relation mass_shootings_data
%@attribute title String 
%@attribute location String
%@attribute summary string
@attribute fatalities numeric
@attribute injuries numeric
@attribute total_victims numeric
@attribute mental_health_issues {Yes,No,Unknown}
@attribute race {White_American,Black_American,Asian,Asian_American,Mexican,Unknown,Native_American,Other}
@attribute gender {Male,Female,Unknown,Male/Female}
@attribute Date date 'yyyy/MM/dd'
@attribute latitude real
@attribute longitude real

@data
0,4,4,'No','Black_American','Male',2016/04/21,39.290385,-76.612189
5,0,4,'No','White_American','Male',2016/02/23,33.448377,-112.074037
5,21,26,'Unknown','White_American','Male',2008/02/14,41.9294736,-88.7503647
14,21,35,'No','Other','Male/Female',2015/12/02,?,?
5,0,4,'Unknown','White_American','Male',2015/06/07,46.39761858,-112.7329333
2,2,3,'No','Unknown','Male',2016/03/25,35.242302,-87.334739
3,1,3,'No','Asian_American','Male',2016/04/01,35.085334,-106.605553
0,4,4,'Unknown','Black_American','Male',2015/06/16,25.94326707,-80.24253243
3,1,4,'Unknown','White_American','Male',2015/08/29,36.55605824,-82.21429551
6,0,5,'Unknown','White_American','Male',2015/09/17,43.38682722,-98.84357239
1,7,8,'No','Unknown','Unknown',2016/02/07,43.16103,-77.610922
0,4,4,'No','Unknown','Unknown',2016/03/15,33.748995,-84.387982
3,1,4,'No','Black_American','Male',2016/01/06,28.039465,-81.949804
1,4,5,'No','Black_American','Male',2016/01/11,39.739072,-75.539788
2,3,4,'Unknown','Unknown','Male',2015/07/12,41.89499946,-87.81941392
2,10,12,'No','Other','Male',2016/02/07,28.4541,-81.4646
2,2,4,'No','Unknown','Unknown',2016/02/19,38.104086,-122.256637
1,4,5,'No','Unknown','Male',2016/01/25,33.782519,-117.228648
32,23,55,'Yes','Asian','Male',2007/04/16,37.2295733,-80.4139393
3,0,3,'No','White_American','Male',2017/06/07,?,?
5,0,5,'No','Unknown','Male',2017/06/05,?,?
3,0,3,'No','White_American','Male',2017/05/12,?,?
3,0,3,'No','Black_American','Male',2017/04/18,?,?
5,0,5,'No','Unknown','Male',2016/09/23,?,?
3,3,6,'No','Black_American','Male',2016/07/17,?,?
5,11,16,'No','Black_American','Male',2016/07/07,?,?
2,2,3,'No','Black_American','Male',2016/03/31,37.540725,-77.436048
3,0,3,'No','Black_American','Male',2016/03/26,36.099039,-78.301106
6,3,9,'No','Unknown','Male',2016/03/09,40.440625,-79.995886
5,0,5,'No','Other','Male',2016/03/07,39.114053,-94.627464
5,0,4,'No','White_American','Male',2016/02/26,47.5033,-122.931
4,14,17,'No','Black_American','Male',2016/02/25,38.1368,-97.4268
6,2,8,'No','White_American','Male',2016/02/20,?,?
